index,subdirectory_filename,data_formatada,Posi,pos_ind,Neg,neg_ind,Neutral,neu_ind,indice
,ITUB-1T23_ITUB,,124,0.0867739678096571,285,0.1994401679496151,1020,0.7137858642407278,-0.112666200139958
1.0,ITUB-2T21_ITUB,,231,0.1384062312762133,257,0.1539844218094667,1181,0.70760934691432,-0.0155781905332534
2.0,ITUB-4T23_ITUB,,158,0.1050531914893617,258,0.1715425531914893,1088,0.723404255319149,-0.0664893617021276
3.0,ITUB-3T22_ITUB,,159,0.0700440528634361,449,0.1977973568281938,1662,0.73215859030837,-0.1277533039647577
4.0,ITUB-1T21_ITUB,,216,0.1389067524115755,232,0.1491961414790996,1107,0.7118971061093248,-0.0102893890675241
5.0,ITUB-4T19_ITUB,,243,0.1535060012634238,243,0.1535060012634238,1097,0.6929879974731522,0.0
6.0,ITUB-3T20_ITUB,,216,0.1382842509603073,239,0.1530089628681178,1107,0.7087067861715749,-0.0147247119078105
7.0,ITUB-4T22_ITUB,,148,0.0900243309002433,344,0.2092457420924574,1152,0.7007299270072993,-0.1192214111922141
8.0,ITUB-1T20_ITUB,,175,0.1178451178451178,245,0.1649831649831649,1065,0.7171717171717171,-0.0471380471380471
9.0,ITUB-3T23_ITUB,,131,0.0897875257025359,291,0.1994516792323509,1037,0.7107607950651131,-0.1096641535298149
10.0,ITUB-2T23_ITUB,,144,0.0938722294654498,301,0.196219035202086,1089,0.7099087353324641,-0.1023468057366362
11.0,ITUB-3T19_ITUB,,172,0.1172460804362644,232,0.158145875937287,1063,0.7246080436264485,-0.0408997955010225
12.0,ITUB-1T19_ITUB,,173,0.1198060941828254,219,0.1516620498614958,1052,0.7285318559556787,-0.0318559556786703
13.0,ITUB-4T21_ITUB,,250,0.146455770357352,284,0.1663737551259519,1173,0.687170474516696,-0.0199179847685998
14.0,ITUB-1T22_ITUB,,203,0.1062271062271062,347,0.1815803244374673,1361,0.7121925693354265,-0.075353218210361
15.0,ITUB-3T21_ITUB,,216,0.1355081555834379,248,0.1555834378920953,1130,0.7089084065244667,-0.0200752823086574
16.0,ITUB-2T19_ITUB,,165,0.1143451143451143,219,0.1517671517671517,1059,0.7338877338877339,-0.0374220374220374
17.0,ITUB-4T20_ITUB,,241,0.1422668240850059,267,0.1576151121605667,1186,0.7001180637544274,-0.0153482880755608
18.0,ITUB-2T20_ITUB,,194,0.1217827997489014,266,0.1669805398618958,1133,0.7112366603892027,-0.0451977401129943
