Date,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
0,2010-04-01,9.38296604156494,9.560748100280762,9.185429573059082,9.38296604156494,5.897709846496582,8291951,,,,,,,,0,0,0
1,2010-04-05,9.38296604156494,9.452102661132812,9.38296604156494,9.39284324645996,5.9039177894592285,3116594,,0.001052048704928775,,,,,,0,0,0
2,2010-04-06,9.3533353805542,9.412595748901367,9.284197807312012,9.38296604156494,5.897709846496582,2620583,,-0.001052048704928682,,,0.0014878215467872581,,,-1,0,0
3,2010-04-07,9.38296604156494,9.560748100280762,9.333581924438477,9.402718544006348,5.910123825073242,2580084,,0.0021026690408572804,,,0.0016064076410847198,,,1,0,0
4,2010-04-08,9.422472953796388,9.432350158691406,9.373088836669922,9.38296604156494,5.897709846496582,2828242,,-0.002102669040857242,,,0.0019197262952344377,,,-1,0,0
5,2010-04-09,9.452102661132812,9.452102661132812,9.363211631774902,9.38296604156494,5.897709846496582,1856672,,0.0,,,0.0016625317399860083,,,0,0,0
6,2010-04-12,9.412595748901367,9.461979866027832,9.3533353805542,9.432350158691406,5.928750514984131,1825893,,0.005249371125120853,0.005249371125120853,,0.0026084207797140604,,,1,0,0
7,2010-04-13,9.432350158691406,9.62988567352295,9.402718544006348,9.62988567352295,6.05291223526001,1414121,,0.020726032353786894,0.02492335477397909,,0.007871801609762292,0.013911607251060915,,1,1,0
8,2010-04-14,9.659516334533691,9.827422142028809,9.491610527038574,9.768160820007324,6.139825344085693,1870138,,0.014256778740203993,0.04023218221911182,,0.008186291160649284,0.01753673716515441,,1,1,0
9,2010-04-15,9.54099464416504,9.837299346923828,9.54099464416504,9.71877670288086,6.108784198760986,738801,5.269166512722885,-0.005068528255383947,0.03306098492287058,,0.008364651285977099,0.015100650812506933,,-1,1,0
10,2010-04-16,9.768160820007324,9.768160820007324,9.580501556396484,9.580501556396484,6.021871089935303,622772,3.791569603695957,-0.014329744600223958,0.02083390936350393,,0.009769922566388546,0.013269799587633477,,-1,1,0
11,2010-04-19,9.511363983154297,9.72865390777588,9.481734275817873,9.72865390777588,6.114993572235107,336141,3.2567079414997986,0.015345694681211296,0.03617960404471513,,0.01009436130384371,0.012736788708776028,,1,1,0
12,2010-04-20,9.610132217407228,9.778038024902344,9.550870895385742,9.748408317565918,6.127410411834717,745888,2.900504379065946,0.0020284976502169126,0.03295873056981128,,0.009631472505600043,0.011861751590570754,,1,1,0
13,2010-04-22,9.72865390777588,9.72865390777588,9.580501556396484,9.679269790649414,6.0839524269104,1157762,2.632008719909089,-0.00711766065215255,0.005115037563871853,,0.009653923474055685,0.013564256531206392,,-1,1,0
14,2010-04-23,9.72865390777588,9.748408317565918,9.550870895385742,9.659516334533691,6.071536540985107,478393,2.1812165501038074,-0.0020428450514714184,-0.01118458622780366,,0.009350599913984969,0.017464830067671706,,-1,-1,0
15,2010-04-26,9.659516334533691,9.71877670288086,9.62988567352295,9.679269790649414,6.0839524269104,703466,1.962938792470829,0.0020428450514713603,-0.004073212920948207,,0.009010467319815517,0.01825075446191561,,1,-1,0
16,2010-04-27,9.620009422302246,9.62988567352295,9.432350158691406,9.432350158691406,5.928750514984131,703871,1.745252375987836,-0.025841069917658763,-0.01558453823838304,,0.011156818496217783,0.020108243258973337,,-1,-1,0
17,2010-04-28,9.452102661132812,9.62988567352295,9.333581924438477,9.432350158691406,5.928750514984131,946358,1.6487547803424678,0.0,-0.0309302329195942,,0.010802836123007325,0.02335109330345966,,0,-1,0
18,2010-04-29,9.481734275817873,9.54099464416504,9.38296604156494,9.38296604156494,5.897709846496582,263445,1.323851024396926,-0.005249371125120917,-0.03820810169493217,,0.010561854575193305,0.02625122214094407,,-1,-1,0
19,2010-04-30,9.373088836669922,9.481734275817873,9.323704719543455,9.481734275817873,5.9597907066345215,1147941,1.4000427836563762,0.010471250177469135,-0.020619190865310395,,0.010541645735065193,0.026323498825868864,,1,-1,0
20,2010-05-03,9.481734275817873,9.787915229797363,9.402718544006348,9.669392585754396,6.077744483947754,1168,1.2775517031814139,0.019598289991472107,0.0010219441776331242,,0.01110933299840237,0.025393102718471623,,1,0,0
21,2010-05-04,9.590378761291504,10.064464569091797,9.491610527038574,9.689146995544434,6.090161323547363,1816275,1.5722612971928278,0.002040917164561562,0.001020016290723017,,0.010828673513553357,0.024555011842729794,,1,0,0
22,2010-05-05,9.679269790649414,9.679269790649414,9.481734275817873,9.580501556396484,6.021871089935303,889558,1.5979968391777808,-0.011276547969998822,0.01558453823838299,0.02083390936350393,0.010914676503450493,0.023913486377871024,,-1,1,0
23,2010-05-06,9.669392585754396,9.669392585754396,8.819988250732422,9.560748100280762,6.009456157684326,1919446,1.744962344661951,-0.002063768427518026,0.013520769810864922,0.01771809223105715,0.010682194213917837,0.023274066120912044,0.0022032154232903417,-1,1,1
24,2010-05-07,9.531118392944336,9.531118392944336,8.987893104553223,9.323704719543455,5.860459804534912,760164,1.7956953896714922,-0.025106189434285085,-0.006336048498299189,-0.006336048498299189,0.011710957729064908,0.022796439797123584,0.014868964393677443,-1,-1,-1
25,2010-05-10,9.600255966186523,9.649640083312988,9.234813690185549,9.38296604156494,5.897709846496582,578020,1.767197359463519,0.006336048498299239,-0.010471250177469162,-0.002102669040857242,0.011540126464527185,0.02247075405755558,0.01373373984260116,1,-1,-1
26,2010-05-11,9.373088836669922,9.412595748901367,8.899002075195312,9.037278175354004,5.680425643920898,2538269,2.102467245350277,-0.03753794671128919,-0.06760748688023045,-0.03753794671128919,0.0134923531519195,0.026982788259965827,0.023402038477085566,-1,-1,-1
27,2010-05-12,9.15579891204834,9.284197807312012,9.086662292480469,9.284197807312012,5.835628509521484,1664404,2.236705240022526,0.026955806416446914,-0.04269259762834507,-0.010582140294842347,0.014314803962165607,0.027944123863957244,0.02125835181967181,1,-1,-1
28,2010-05-13,9.363211631774902,9.422472953796388,9.24468994140625,9.38296604156494,5.897709846496582,494795,2.281355057578049,0.010582140294842418,-0.02083390936350393,-0.005249371125120917,0.014199482368884428,0.027618796358466962,0.019424726938606404,1,-1,-1
29,2010-05-14,9.363211631774902,9.38296604156494,8.948386192321777,9.185429573059082,5.7735466957092285,823444,2.2130503298416273,-0.021277543631781387,-0.040047684567767215,-0.04725294711068919,0.014492615654409331,0.02812368256967569,0.023762465367540887,-1,-1,-1
30,2010-05-17,9.313828468322754,9.422472953796388,8.9681396484375,9.05703067779541,5.692841529846191,396585,2.2866989255258954,-0.014077056699297482,-0.02901855183277962,-0.07558678255019065,0.01444742615250077,0.02800839340104173,0.03145598120818391,-1,-1,-1
31,2010-05-18,9.224937438964844,9.224937438964844,8.899002075195312,8.97801685333252,5.643176555633545,529928,2.0225855538447783,-0.00876238757003768,-0.04411698790111662,-0.07928064186484449,0.014269753283151712,0.02853100218748338,0.035735678535881985,-1,-1,-1
32,2010-05-19,8.889124870300293,9.126169204711914,8.59282112121582,8.839740753173828,5.556262969970703,843592,2.0006740469147517,-0.0155213714652981,-0.02210041265512548,-0.0804722687299186,0.014257227877728122,0.02815126656260291,0.03813743430751005,-1,-1,-1
33,2010-05-20,8.800233840942383,8.800233840942383,8.168119430541992,8.385408401489258,5.270689487457275,1284423,1.8447430039033272,-0.0527645680502632,-0.10182078712183558,-0.14858253146139308,0.01659603809209505,0.032984709373843395,0.050377100288208715,-1,-1,-1
34,2010-05-21,8.42491626739502,8.59282112121582,8.207626342773438,8.59282112121582,5.401060104370117,2124573,2.0744668694815496,0.024434063396905372,-0.08796886401977258,-0.12617696571470466,0.017025820337829047,0.035489988748340646,0.054094636930706784,1,-1,-1
35,2010-05-24,8.839740753173828,8.839740753173828,8.21750259399414,8.395284652709961,5.276897430419922,1349626,2.1959660790139335,-0.023256932792946154,-0.08994825318093737,-0.14231623785549843,0.017133574433574075,0.037627068760685355,0.058157549275719186,-1,-1,-1
36,2010-05-25,8.059473991394043,8.296517372131348,8.059473991394043,8.197749137878418,5.152735710144043,856754,1.8686007276344505,-0.023810537645014784,-0.09968173412665467,-0.1640839304490417,0.01723360509543908,0.03999028285568369,0.06311620055776292,-1,-1,-1
37,2010-05-26,8.286640167236328,8.69158935546875,8.266886711120605,8.385408401489258,5.270689487457275,1663695,1.8377084681677882,0.022633407041055726,-0.06828593951556133,-0.14349336845945745,0.01753743849331598,0.040337431976484914,0.06452023168825308,1,-1,-1
38,2010-05-27,8.59282112121582,8.819988250732422,8.40516185760498,8.819988250732422,5.543846607208252,1490461,2.0126095670451005,0.050527406722320464,-0.0022371613279427416,-0.06712489181947831,0.01935860758554701,0.039814833195767306,0.062474925026616036,1,0,-1
39,2010-05-28,8.839740753173828,9.07678508758545,8.51380729675293,9.07678508758545,5.705257415771484,428478,1.9370296532430278,0.028699510125532148,0.07922691684785257,-0.038425381693946215,0.019709837709350184,0.04266674181517849,0.060921957271147575,1,1,-1
40,2010-05-31,9.116291999816896,9.373088836669922,8.740973472595215,9.373088836669922,5.891500949859619,327636,1.9263148976289108,0.03212269201879395,0.086915545469741,-0.0010533185500315072,0.0201419412127827,0.04549363624512838,0.06089337671051075,1,1,0
41,2010-06-01,9.16567611694336,9.323704719543455,8.987893104553223,9.234813690185549,5.804587841033936,483455,1.92028646860282,-0.014862183450703177,0.09531029481198414,-0.0263867521782038,0.02002307927364375,0.048341544511227595,0.05973965899983067,-1,1,-1
42,2010-06-02,9.264444351196287,9.323704719543455,9.06690788269043,9.274320602416992,5.829420566558838,283897,1.821058571079788,0.004268995236754077,0.12338982769375306,-0.04171604693292172,0.019790439328076923,0.0524728728705755,0.05833767878700085,1,1,-1
43,2010-06-04,9.047154426574709,9.303951263427734,8.642205238342285,9.027400970458984,5.674216747283936,1137209,1.8106842534430396,-0.02698507144038093,0.07377134921231637,-0.07074203553786411,0.0199730996010009,0.05337046008645633,0.057002859805485924,-1,1,-1
44,2010-06-07,8.859495162963867,9.07678508758545,8.859495162963867,9.07678508758545,5.705257415771484,160071,1.465062858774662,0.005455567635536002,0.028699510125532148,-0.054009919932329266,0.0197627163478337,0.0529288363218772,0.05569848122260547,1,1,-1
45,2010-06-08,9.116291999816896,9.116291999816896,8.632328033447266,8.889124870300293,5.587302684783936,1563967,1.5179618765763387,-0.02089145774693844,-0.02089145774693844,-0.07283760925174955,0.019766132002947294,0.0523181161588905,0.05456032322587431,-1,-1,-1
46,2010-06-09,8.889124870300293,9.136046409606934,8.819988250732422,9.136046409606934,5.742506980895996,323080,1.434210030399284,0.02739922560393974,-0.025614924161792535,-0.020332194213524845,0.01999500920841489,0.051770774070934465,0.05395287517787097,1,-1,-1
47,2010-06-10,9.106414794921877,9.461979866027832,9.096537590026855,9.461979866027832,5.947373867034912,505932,1.2457244282172304,0.03505388400673406,0.02430114329564467,0.008385641294909959,0.020448108818690358,0.051327874308430395,0.05439240896258055,1,1,1
48,2010-06-11,9.215060234069824,9.402718544006348,9.215060234069824,9.38296604156494,5.897709846496582,229122,1.019549281449586,-0.008385641294909978,0.011646506763980562,0.03753794671128921,0.02026713733705857,0.05076771644889001,0.0561951361287416,-1,1,1
49,2010-06-14,9.38296604156494,9.38296604156494,9.05703067779541,9.185429573059082,5.7735466957092285,507653,1.0354656283417676,-0.021277543631781387,0.01735403457258013,-0.010695403336938972,0.02028395641718914,0.05027162361756824,0.055668418067647496,-1,1,-1
50,2010-06-15,9.126169204711914,9.274320602416992,8.987893104553223,9.25456714630127,5.817004203796387,576502,1.0820399977836437,0.007498817287735425,0.019397284224779217,-0.01377872634404605,0.020107233586278944,0.049808637134045534,0.05506780349941044,1,1,-1
51,2010-06-16,9.15579891204834,9.422472953796388,9.096537590026855,9.422472953796388,5.92254114151001,863740,1.1576089023245344,0.01798021606985893,0.058268958041576495,0.0254790333575942,0.02006862246907597,0.050059315949376224,0.05576294913756046,1,1,1
52,2010-06-17,9.452102661132812,9.610132217407228,9.373088836669922,9.610132217407228,6.040494441986084,959925,1.2931998282571517,0.019720266179728555,0.050589998617365475,0.0592763562366202,0.02005664067857604,0.05008380179004523,0.0579872100629935,1,1,1
53,2010-06-18,9.669392585754396,10.015081405639648,9.669392585754396,9.817544937133787,6.170866966247559,1099,1.0822611048051387,0.021353471362159704,0.03688958597279128,0.08939221516881768,0.020069116060800432,0.04983396250558907,0.061623912123505625,1,1,1
54,2010-06-21,9.876806259155272,9.975573539733888,9.560748100280762,9.778038024902344,6.146034717559815,1262250,1.3062435445585665,-0.0040322287163720265,0.041242998551329076,0.1008813579177439,0.019890001898648327,0.04965054604712816,0.06531736176890784,-1,1,1
55,2010-06-22,9.778038024902344,9.827422142028809,9.54099464416504,9.778038024902344,6.146034717559815,435160,1.1078099825862548,0.0,0.0625205421831105,0.15364592596800708,0.019705243720801874,0.04989179513078859,0.0719322466149098,0,1,1
56,2010-06-23,9.610132217407228,9.649640083312988,9.39284324645996,9.432350158691406,5.928750514984131,398408,1.1243936204259815,-0.0359936274262083,0.019028097469167053,0.09321823514489357,0.02013319022257744,0.04944273965733211,0.07379823351187621,-1,1,1
57,2010-06-24,9.432350158691406,9.531118392944336,9.15579891204834,9.38296604156494,5.897709846496582,439818,1.1108115835634294,-0.005249371125120917,-0.0042014897258129185,0.11122579681271882,0.01996516704896802,0.0489660702510755,0.07620429824756268,-1,0,1
58,2010-06-25,9.234813690185549,9.679269790649414,9.234813690185549,9.679269790649414,6.0839524269104,265875,1.1195252000515767,0.03109044104277972,0.007168685137238292,0.1661267755005131,0.02020595355888304,0.04849640733475732,0.08121397429670368,1,1,1
59,2010-06-28,9.580501556396484,9.837299346923828,9.491610527038574,9.778038024902344,6.146034717559815,763809,1.1772320089220132,0.010152557508549586,-0.0040322287163720265,0.15364592596800708,0.02007009347931756,0.048046346330801674,0.08471911816376557,1,0,1
60,2010-06-29,9.422472953796388,9.95582103729248,9.313828468322754,9.866929054260254,6.201907157897949,969037,1.2641589098004316,0.009049738364522077,0.009049738364522077,0.11216825761020868,0.019928462678642848,0.04760660268302952,0.08592189219940817,1,1,1
61,2010-06-30,9.80766773223877,9.857051849365234,9.620009422302246,9.857051849365234,6.195699214935303,1503421,1.4015739388501414,-0.001001474525777012,0.008048263838745092,0.08246727295889972,0.01976309811412561,0.047176620140638885,0.08602760369632986,0,1,1
62,2010-07-01,9.748408317565918,9.866929054260254,9.550870895385742,9.580501556396484,6.021871089935303,675319,1.3449045035328822,-0.028457353026570317,0.01558453823838299,0.02188722791353535,0.019949712560663146,0.04678270258274544,0.08505987601441303,-1,1,1
63,2010-07-02,9.62988567352295,9.669392585754396,9.422472953796388,9.62988567352295,6.05291223526001,741433,1.4915424231567567,0.005141494115403984,0.025975403478907894,0.04189090547964243,0.019797433377507678,0.04646578252727633,0.08433600340881882,1,1,1
64,2010-07-05,9.72865390777588,9.72865390777588,9.432350158691406,9.531118392944336,5.99083137512207,558682,1.3472012208157733,-0.010309321085813295,-0.015424358649685152,0.0273125891570751,0.019685356744987982,0.04613083014951641,0.08346735336340841,-1,-1,1
65,2010-07-06,9.699024200439451,9.857051849365234,9.096537590026855,9.471857070922852,5.953581809997559,1606895,1.5727441488889242,-0.006237173028933325,-0.03181408918716793,0.04806048756852259,0.01954750038888455,0.045963496280663624,0.08286064948974829,-1,-1,1
66,2010-07-07,9.580501556396484,9.71877670288086,9.442227363586426,9.639762878417969,6.059120178222656,1233900,1.7401042220951493,0.017571581118203835,-0.023292246433486315,0.06017650105119052,0.01951480216857559,0.04570117912756716,0.08244669698512593,1,-1,1
67,2010-07-08,9.738531112670898,9.95582103729248,9.679269790649414,9.827422142028809,6.177073955535889,2151201,2.090061829275607,0.01928008494021366,-0.003010686967495449,0.10034804373834248,0.01950314144781362,0.04533019713610487,0.08288943399839126,1,0,1
68,2010-07-12,9.827422142028809,9.926190376281738,9.550870895385742,9.72865390777588,6.114993572235107,646970,2.1665917688445737,-0.010100971377863633,0.015345694681211296,0.06284784675653908,0.019401236853227918,0.04499321771697029,0.08247854122543175,-1,1,1
69,2010-07-13,9.866929054260254,9.975573539733888,9.699024200439451,9.975573539733888,6.270195484161377,1223776,2.2640739747279417,0.025063813864582583,0.03526801443039003,0.05285777661438774,0.019483183122750474,0.0448222680406963,0.08192198115329351,1,1,1
70,2010-07-14,9.876806259155272,9.876806259155272,9.689146995544434,9.876806259155272,6.208115100860596,991312,2.2687961010277333,-0.009950208415553606,0.03562712710064983,0.05129320949374431,0.01938481427424795,0.044654359239225845,0.081352847919141,-1,1,1
71,2010-07-15,9.876806259155272,9.926190376281738,9.708900451660156,9.827422142028809,6.177073955535889,902923,2.146495858410899,-0.0050126340711653455,0.03685166605841762,0.06755811905436014,0.01925792798457535,0.04449917123819701,0.08101331113324411,-1,1,1
72,2010-07-16,9.827422142028809,9.847175598144531,9.699024200439451,9.72865390777588,6.114993572235107,359326,2.0853213020327623,-0.010100971377863633,0.009179113562350152,0.04995833038876131,0.01916377244501814,0.04416527244913724,0.08043924593855106,-1,1,1
73,2010-07-19,9.857051849365234,9.926190376281738,9.778038024902344,9.827422142028809,6.177073955535889,839542,2.1081654285621623,0.010100971377863614,0.0,0.042079085696765925,0.019063356017288077,0.043837253298130895,0.07979964420070222,1,0,1
74,2010-07-20,9.857051849365234,9.95582103729248,9.72865390777588,9.72865390777588,6.114993572235107,1699334,2.338688118162689,-0.010100971377863633,0.0,0.012257848139173747,0.018973417949947117,0.04351643641738593,0.07903172206033955,-1,0,1
75,2010-07-21,9.876806259155272,10.242247581481934,9.738531112670898,9.778038024902344,6.146034717559815,1964602,2.4207511910430295,0.005063394506613952,-0.02000041935796863,-0.0040322287163720265,0.018852184560317592,0.04329489107055,0.07829764982686001,1,-1,0
76,2010-07-22,9.926190376281738,9.95582103729248,9.689146995544434,9.827422142028809,6.177073955535889,1455429,2.4702935459011512,0.005037576871249703,-0.0050126340711653455,0.005037576871249703,0.018733155646001663,0.042996773322945867,0.07756975527560464,1,-1,0
77,2010-07-23,9.876806259155272,9.876806259155272,9.699024200439451,9.837299346923828,6.183281898498535,570123,2.1508122296126966,0.001004492679328119,0.001004492679328119,0.006042069550577741,0.01860955769313149,0.04269392740172354,0.07686144898445262,0,0,0
78,2010-07-26,9.837299346923828,9.95582103729248,9.768160820007324,9.827422142028809,6.177073955535889,608800,2.1444109260960684,-0.001004492679328067,0.010100971377863614,0.041031204297457914,0.018489229817178564,0.0424034945322476,0.07630542761776851,0,1,1
79,2010-07-27,9.827422142028809,10.173110008239746,9.827422142028809,10.12372589111328,6.363317012786865,2596385,2.433963160286656,0.02970509491753763,0.02970509491753763,0.0759856703401165,0.018660028972826734,0.04222153285433964,0.07616449810487949,1,1,1
80,2010-07-28,10.271878242492676,10.360770225524902,10.12372589111328,10.331138610839844,6.493688583374023,1088003,2.463773889775459,0.02028093372811952,0.06008700002352069,0.06517616302545627,0.018666935172195455,0.04243383741142755,0.0758613646688621,1,1,1
81,2010-07-29,10.370646476745604,10.439784049987791,10.1336030960083,10.360770225524902,6.5123138427734375,789020,2.449405544444526,0.0028641040530681347,0.05788770956997488,0.05788770956997488,0.018550817751420336,0.04258976553315628,0.07547231485844444,1,1,1
82,2010-07-30,10.271878242492676,10.70645809173584,10.1336030960083,10.59781265258789,6.661308288574219,529219,2.492863538357844,0.022621082918389285,0.07547121561711446,0.07145905412384199,0.01858676214118908,0.043056274742218,0.07524628823366791,1,1,1
83,2010-08-02,10.60768985748291,10.963254928588867,10.59781265258789,10.627443313598633,6.679932117462158,1397516,2.6286485954638357,0.0027919204539573065,0.0772586433917436,0.07525244910357637,0.0184736377477559,0.04352420686506492,0.0750645676422764,1,1,1
84,2010-08-03,10.627443313598633,10.80522632598877,10.281755447387695,10.350893020629885,6.506104946136475,1297382,2.564819948201386,-0.02636686684968655,0.05189626922138529,0.07734293528046005,0.01861205736797839,0.0435358422575969,0.0749028726781629,-1,1,1
85,2010-08-04,10.558305740356444,10.568182945251465,10.182987213134766,10.182987213134766,6.400566577911377,1138829,2.4082236425997587,-0.01635444434474614,0.005836729959101594,0.055846996820310045,0.018598313735137994,0.04325995344521932,0.07449361995361349,-1,1,1
86,2010-08-05,10.262001991271973,10.341015815734863,10.173110008239746,10.271878242492676,6.45643949508667,416227,2.2019657788605205,0.008691489851824786,-0.005752713917193096,0.07484780775794823,0.018507363203506655,0.04301482989219583,0.07429066380488561,1,-1,1
87,2010-08-06,10.350893020629885,10.765719413757324,10.271878242492676,10.70645809173584,6.729597091674805,1118073,2.3328275250551154,0.04143727025929789,0.03282045228903664,0.12252225104617948,0.018902010556491742,0.04283936324778709,0.07489190257344869,1,1,1
88,2010-08-09,10.864486694335938,10.864486694335938,10.61756706237793,10.6867036819458,6.717179775238037,1525999,2.545200163979653,-0.0018468842145993388,0.008352485156048141,0.10310378571337628,0.01879648452877196,0.04257737883264598,0.07506654119897234,0,1,1
89,2010-08-10,10.71633529663086,10.71633529663086,10.518798828125,10.666951179504396,6.704765796661377,1271666,2.283558515235692,-0.0018498036741362884,0.003710761027954375,0.08197389709902624,0.018692710698007972,0.04232255499290052,0.07490595805699074,0,0,1
