Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2010-01-04,0,5.588624954223633,5.634480953216553,5.416667938232422,5.588624954223633,4.333086490631104,1569455,,,,,,,0,0,0
2010-01-05,0,5.582892894744873,5.743387222290039,5.494049072265625,5.663139820098877,4.39085865020752,2853143,0.0132452031739821,,,,,,0,0,0
2010-01-06,0,5.688933849334717,6.190476894378662,5.6746039390563965,6.104498863220215,4.733061790466309,3757900,0.0750475409688669,,,0.0437008521479446,,,1,0,0
2010-01-07,0,6.055777072906494,6.055777072906494,5.789243221282959,5.846561908721924,4.533076763153076,1484318,-0.0431722373417953,,,0.0591303257433477,,,-1,0,0
2010-01-08,0,5.846561908721924,6.032848834991455,5.74625301361084,5.901014804840088,4.575294494628906,1279151,0.0092705563765886,,,0.048365818394203,,,1,0,0
2010-01-11,0,6.032848834991455,6.047179222106934,5.846561908721924,5.932540893554688,4.599736213684082,1669247,0.0053282655027176,,,0.0420489740507498,,,1,0,0
2010-01-12,0,5.809304237365723,6.104498863220215,5.809304237365723,6.104498863220215,4.733061790466309,1646218,0.028573415462489,0.0882927441428489,,0.038217578359446,,,1,0,0
2010-01-13,0,6.138889789581299,6.368166923522949,6.081571102142334,6.138889789581299,4.759727954864502,1980486,0.0056178918739682,0.0806654328428354,,0.0350567599399404,0.0053933235424603,,1,1,0
2010-01-14,0,6.37676477432251,6.465610027313232,6.153220176696777,6.153220176696777,4.770838737487793,3317908,0.0023316409708525,0.0079495328448209,,0.0326919821175822,0.0443486369423535,,0,1,0
2010-01-15,0,6.2649922370910645,6.267858028411865,6.101633071899414,6.101633071899414,4.730841636657715,2039454,-0.008419098697245,0.0427026714893713,,0.0313310409171348,0.0371126845023424,,-1,1,0
2010-01-18,0,6.239199161529541,6.359569072723389,6.164683818817139,6.290785789489746,4.877498626708984,1292061,0.0305295376422057,0.0639616527549884,,0.0302606807646554,0.0323948578869203,,1,1,0
2010-01-19,0,6.273590087890625,6.3853631019592285,6.167550086975098,6.305116176605225,4.888609886169434,2785452,0.0022754056576467,0.0609087929099176,,0.0288521437049418,0.029025395773298,,0,1,0
2010-01-20,0,6.276455879211426,6.33090877532959,6.047179222106934,6.061509132385254,4.699730396270752,2238689,-0.0394025945295115,-0.007067217082083,,0.0311157060788396,0.0360003739838752,,-1,-1,0
