trimestre,data
1T2017,2017-05-15
1T2018,2018-05-10
1T2019,2019-05-09
1T2020,2020-05-14
1T2021,2021-05-06
1T2022,2022-05-09
2T2017,2017-08-14
2T2018,2018-08-09
2T2019,2019-08-08
2T2020,2020-08-13
2T2021,2021-08-12
2T2022,2022-08-11
3T2017,2017-11-09
3T2018,2018-11-08
3T2019,2019-11-07
3T2020,2020-11-16
3T2021,2021-11-11
3T2022,2022-11-11
4T2017,2018-03-08
4T2018,2019-03-14
4T2019,2020-03-12
4T2020,2021-03-04
4T2021,2022-02-24
4T2022,2023-03-06

