Date,return
2010-01-05,0.00927900585299391
2010-01-06,0.020945138580403456
2010-01-07,0.004136922399422314
2010-01-08,0.009710635533652324
2010-01-11,-0.002977851504373572
2010-01-12,-0.0027998436161051723
2010-01-13,0.01226097188470465
2010-01-14,-0.00018462416092390624
2010-01-15,-0.013011349880796963
2010-01-18,0.013934270777029356
2010-01-19,0.013742772211904527
2010-01-20,-0.027677042988934048
2010-01-21,-0.035225008828724896
2010-01-22,-0.02135033966664522
2010-01-26,-0.02040064037050888
2010-01-27,-0.01383542484456617
2010-01-28,-0.0006148702713899026
2010-01-29,0.002661503668387278
2010-02-01,0.029810859148456194
2010-02-02,0.0
2010-02-03,-0.002185371136011925
2010-02-04,-0.05561525874644454
2010-02-05,-0.008446028263862936
2010-02-08,0.007183638606961683
2010-02-09,0.020834086902842053
2010-02-10,0.0010303810793865136
2010-02-11,0.023209498954233947
2010-02-12,-0.006865943017100024
2010-02-17,0.03875300234465165
2010-02-18,0.01681684463184401
2010-02-19,-0.0032638633550262056
2010-02-22,-0.019418085857101627
2010-02-23,-0.015412254687775899
2010-02-24,0.003577827316147696
2010-02-25,0.0059347202925552405
2010-02-26,-0.0049431637229500865
2010-03-01,0.010254486379090573
2010-03-02,0.019814176378646756
2010-03-03,-0.0021180446436083224
2010-03-04,0.013782710698127266
2010-03-05,0.03180812215488032
2010-03-08,-0.007393706665046552
2010-03-09,0.007393706665046499
2010-03-10,-0.012975173280573621
2010-03-11,-0.013145671900020625
2010-03-12,-0.005687276974286096
2010-03-15,0.005687276974286115
2010-03-16,0.024646498875564252
2010-03-17,0.0011059458932550816
2010-03-18,-0.009812145469892307
2010-03-19,-0.010849373929266645
2010-03-22,0.013450627541021694
2010-03-23,0.03482893509498773
2010-03-24,-0.0017936950839796341
2010-03-25,-0.007207265898619895
2010-03-26,0.009000960982599478
2010-03-29,0.022154207220397536
2010-03-30,0.006986954639912084
2010-03-31,-0.005235600634461932
2010-04-01,0.010097544203089573
2010-04-05,-0.002775367756685717
2010-04-06,-0.0013905445557630546
2010-04-07,0.01003812529764605
2010-04-08,0.01927238064880091
2010-04-09,0.0015191183833392706
2010-04-12,-0.00693918059962513
2010-04-13,0.007950602784673575
2010-04-14,0.008389311163090817
2010-04-15,-0.008389311163090768
2010-04-16,-0.013912672898733457
2010-04-19,-0.01775447464379999
2010-04-20,-0.014010723613876197
2010-04-22,0.003521143759708835
2010-04-23,-0.008826182390533928
2010-04-26,-0.004086411612708075
2010-04-27,-0.05225881735074921
2010-04-28,-0.0067758701390536556
2010-04-29,0.02701609545504872
2010-04-30,-0.024187282399197773
2010-05-03,-0.026719103240510574
2010-05-04,-0.04631740430899324
2010-05-05,0.02461353935757233
2010-05-06,-0.014334333179972231
2010-05-07,-0.0034146496865620837
2010-05-10,0.041578258879511665
2010-05-11,-0.00969751561452791
2010-05-12,-0.003514261736367068
2010-05-13,-0.014578699402140844
2010-05-14,-0.0300153028950598
2010-05-17,-0.01566400800864571
2010-05-18,-0.036813927558717395
2010-05-19,-0.019587166160625544
2010-05-20,-0.036937641936408055
2010-05-21,0.06510850260097922
2010-05-24,-0.010525236474507467
2010-05-25,0.00881441450106629
2010-05-26,-0.005365395282520519
2010-05-27,0.06114348571659908
2010-05-28,-0.009151070519496901
2010-05-31,0.021223620865529754
2010-06-01,-0.021836732038747697
2010-06-02,0.020836246979227042
2010-06-04,-0.048399862029304914
2010-06-07,-0.031809741436044
2010-06-08,0.010573012200549795
2010-06-09,0.00364217160468555
2010-06-10,0.018014735317733708
2010-06-11,0.012108666128567732
2010-06-14,0.0006223959134977859
2010-06-15,0.014207973363185702
2010-06-16,-0.01255032656881802
2010-06-17,-0.017755003727933982
2010-06-18,-0.01123255637450705
2010-06-21,0.032501090281761
2010-06-22,-0.009744064134108136
2010-06-23,0.012216740650235376
2010-06-24,-0.022688040517530757
2010-06-25,0.012136617269855994
2010-06-28,-0.018896247862593175
2010-06-29,-0.0495322517157103
2010-06-30,-0.02823451148940333
2010-07-01,0.004343328877578479
2010-07-02,-0.005030909833663891
2010-07-05,-0.014315620593096932
2010-07-06,0.012479961140108924
2010-07-07,0.02382954522773431
2010-07-08,0.003358371516598535
2010-07-12,-0.0219193319168116
2010-07-13,0.008870736852305543
2010-07-14,0.00022638564022287516
2010-07-15,-0.00795545695070402
2010-07-16,-0.022384717769004966
2010-07-19,0.02761972562832511
2010-07-20,0.05498684248364664
2010-07-21,0.0057847071035517054
2010-07-22,0.020928738886798536
2010-07-23,0.007710759093449341
2010-07-26,0.0004151195250304876
2010-07-27,-0.003950491246922762
2010-07-28,0.017553336344893842
2010-07-29,-0.009254502003775651
2010-07-30,0.0030943337738147027
2010-08-02,0.039973016123005314
2010-08-03,-0.0011880706069510613
2010-08-04,-0.0007928823987712968
2010-08-05,0.00435301868052596
2010-08-06,-0.0013829833776541351
2010-08-09,0.0025668343097713167
2010-08-10,-0.014100106324603887
2010-08-11,-0.03438439843519036
2010-08-12,0.008451041464168398
2010-08-13,0.0016406487679720193
2010-08-16,0.0130294881474168
2010-08-17,0.011463166495675301
2010-08-18,0.006775636990942405
2010-08-19,-0.009980123060690323
2010-08-20,-0.01231213039472276
2010-08-23,-0.029053239428956084
2010-08-24,-0.021769909353285623
2010-08-25,-0.00901483176443908
2010-08-26,-0.011275064118260588
2010-08-27,0.034083250395968885
2010-08-30,-0.028213020410556258
2010-08-31,0.01612764732859624
2010-09-01,0.048099154836369555
2010-09-02,-0.012478361623595466
2010-09-03,-0.0037121160165498267
2010-09-06,-0.00829883434111829
