,CD_CVM,Close,Date,Return,event,return_week,return_month,Year
0,19348,18.268333,2010-01-04,,0,,,2010
1,19348,18.386723,2010-01-05,0.006459704313589818,0,,,2010
2,19348,18.227352,2010-01-06,-0.008705505000678135,0,,,2010
3,19348,18.040663,2010-01-07,-0.010295057443854859,0,,,2010
4,19348,17.767456,2010-01-08,-0.015259796337963337,0,-0.027800654468906668,,2010
5,19348,17.61264,2010-01-11,-0.008751643191024424,0,,,2010
6,19348,17.448717000000002,2010-01-12,-0.009350704503047664,0,,,2010
7,19348,17.503359,2010-01-13,0.003126683777850401,0,,,2010
8,19348,17.262026000000002,2010-01-14,-0.01388374537301968,0,,,2010
9,19348,16.970608,2010-01-15,-0.017026153458944246,0,-0.03713391955716129,,2010
10,19348,17.120870999999998,2010-01-18,0.008815339051697842,0,,,2010
11,19348,17.075336,2010-01-19,-0.002663162432770834,0,,,2010
12,19348,16.624546,2010-01-20,-0.026754805256537645,0,,,2010
13,19348,16.319468,2010-01-21,-0.01852152693294578,0,,,2010
14,19348,16.506159,2010-01-22,0.011374833019457138,0,-0.036564661602797095,,2010
15,19348,16.547138,2010-01-26,0.0024795723703966697,0,,,2010
16,19348,16.310361999999998,2010-01-27,-0.014412544996244244,0,,,2010
17,19348,16.797577,2010-01-28,0.02943403845811266,0,,,2010
18,19348,16.451517000000006,2010-01-29,-0.0208169580126703,0,,,2010
19,19348,16.76115,2010-02-01,0.018646016647304482,0,0.012850552096502458,,2010
20,19348,16.984266,2010-02-02,0.01322367762587687,0,,,2010
21,19348,16.911413,2010-02-03,-0.0042986666344517,0,,-0.07718040430986724,2010
22,19348,16.260273,2010-02-04,-0.03926382579658279,0,,,2010
23,19348,15.845912,2010-02-05,-0.025813344570962,0,,,2010
24,19348,15.800377,2010-02-08,-0.0028777485679030487,0,-0.07225358556989954,,2010
25,19348,16.506159,2010-02-09,0.04369978347712332,0,,,2010
26,19348,16.597225,2010-02-10,0.005501928728683902,0,,,2010
27,19348,16.888645,2010-02-11,0.017405989902755572,0,,,2010
28,19348,16.884092000000006,2010-02-12,-0.00026962576515965727,0,,,2010
29,19348,17.248365,2010-02-17,0.02134547952536341,0,0.04398377239164312,,2010
30,19348,17.303007,2010-02-18,0.003162945052035423,0,,,2010
31,19348,17.029802,2010-02-19,-0.015915433362942467,0,,,2010
32,19348,16.674635000000002,2010-02-22,-0.02107616555896421,0,,,2010
33,19348,16.396875,2010-02-23,-0.016797934613706787,0,,,2010
34,19348,16.214739,2010-02-24,-0.011170124470419136,0,-0.06495965800603258,,2010
35,19348,16.210186,2010-02-25,-0.00028083334224677104,0,,,2010
36,19348,16.619993,2010-02-26,0.02496655816763777,0,,,2010
37,19348,16.647314,2010-03-01,0.0016425138435362519,0,,,2010
38,19348,16.915966,2010-03-02,0.01600902758534887,0,,,2010
39,19348,16.915966,2010-03-03,0.0,0,0.04261809959652257,,2010
40,19348,16.8932,2010-03-04,-0.0013467355829413568,0,,,2010
41,19348,16.984266,2010-03-05,0.005376211983795878,0,,,2010
42,19348,16.975161,2010-03-08,-0.0005362281417865816,0,,,2010
43,19348,17.184618,2010-03-09,0.01226352343106286,0,,0.05528978772031072,2010
44,19348,17.257473,2010-03-10,0.00423058569018476,0,0.021334092963257004,,2010
45,19348,17.303007,2010-03-11,0.0026350343714410013,0,,,2010
46,19348,17.025248,2010-03-12,-0.016182882685562443,0,,,2010
47,19348,17.125423,2010-03-15,0.00586666583016745,0,,,2010
48,19348,17.234707,2010-03-16,0.006361114961056756,0,,,2010
49,19348,17.075336,2010-03-17,-0.009290116379313776,0,-0.013245218273652059,,2010
50,19348,16.938732,2010-03-18,-0.008032249152881768,0,,,2010
51,19348,16.870432,2010-03-19,-0.004040330184577625,0,,,2010
52,19348,17.120870999999998,2010-03-22,0.014735741770230303,0,,,2010
53,19348,16.979713,2010-03-23,-0.008278967085242015,0,,,2010
54,19348,16.619993,2010-03-24,-0.021412910254518427,0,-0.01899646575410785,,2010
55,19348,16.820345,2010-03-25,0.011982797382612816,0,,,2010
56,19348,17.120870999999998,2010-03-26,0.017709079957147482,0,,,2010
57,19348,17.375861999999998,2010-03-29,0.014783756143365037,0,,,2010
58,19348,17.553445999999994,2010-03-30,0.010168282182409626,0,,,2010
59,19348,17.758348,2010-03-31,0.011605431306115526,0,0.054266549589037635,,2010
60,19348,17.849419,2010-04-01,0.005115243456747514,0,,,2010
61,19348,17.963252999999995,2010-04-05,0.006357212518245568,0,,,2010
