,index,CD_CVM,Close,Date,Return,event,return_week,return_month,Year
0,291,19348,16.487944,2011-03-09,-0.030729827411429086,0,0.0002761792950717288,,2011
1,296,19348,16.128223000000002,2011-03-16,-0.023989971871347663,0,0.017084612328557004,,2011
2,301,19348,16.74749,2011-03-23,-0.010547794723146877,0,0.0430561910611704,,2011
3,306,19348,17.125423,2011-03-30,0.02804162219426562,0,0.019600522494393733,,2011
4,311,19348,17.480591,2011-04-06,-0.0033805494477258447,0,-0.013197152728682614,,2011
5,316,19348,16.938732,2011-04-13,0.0005377290637719113,0,-0.033050059040294476,,2011
6,321,19348,17.257473,2011-04-20,0.017030683899150783,0,0.02836685102885779,,2011
7,326,19348,16.8932,2011-04-29,0.012749459403371369,0,-0.017898088434513258,0.014388711714962603,2011
8,331,19348,16.665526999999994,2011-05-06,0.02349797571516061,0,0.001366987312295558,,2011
9,336,19348,16.264828,2011-05-13,-0.025429787220775598,0,-0.029786986785087493,,2011
10,341,19348,15.732076,2011-05-20,-0.002601545793405853,0,-0.02345647318545272,,2011
11,346,19348,16.25572,2011-05-27,-0.004750591096643615,0,0.037094125300380365,,2011
12,351,19348,16.32402,2011-06-03,0.002513628817466833,0,0.008403368922852716,,2011
13,356,19348,15.891445999999998,2011-06-10,-0.00571427257879541,0,-0.0034324929414840323,,2011
14,361,19348,15.932427,2011-06-17,-0.011084351554932715,0,0.005444917290567482,,2011
15,366,19348,15.941534,2011-06-27,0.00028570968088284494,0,-0.005412345302952073,,2011
16,371,19348,16.756596,2011-07-04,0.008733587834315153,0,0.020590877152296225,0.028667957885260775,2011
17,376,19348,15.217539000000002,2011-07-11,-0.03758515628625591,0,-0.09525576144923016,,2011
18,381,19348,14.297748,2011-07-18,-0.009193262426052222,0,-0.03596943276581697,,2011
19,386,19348,14.616487,2011-07-25,-0.02248671073444112,0,-0.0015564810898691037,,2011
20,391,19348,14.297748,2011-08-01,-0.003179636930845996,0,-0.005716073301936476,-0.14995634161948662,2011
21,401,19348,12.931721,2011-08-15,0.021712917524163586,0,0.03950248178248953,,2011
22,406,19348,11.975502,2011-08-22,-0.013220228034895216,0,-0.06299262647708247,,2011
23,411,19348,12.590214,2011-08-29,0.014572214000212953,0,0.04248094357356238,,2011
24,416,19348,13.113858,2011-09-05,-0.04048858166689715,0,0.02105345787137196,,2011
25,421,19348,12.758691,2011-09-13,-0.00958981190644138,0,-0.045010172178162,,2011
26,426,19348,13.191266,2011-09-20,-0.0027576425766336387,0,0.02410595702814879,,2011
27,431,19348,13.291441,2011-09-27,0.040550816656250606,0,0.01067686284362415,,2011
28,436,19348,12.895294,2011-10-04,-0.012282949345382882,0,-0.027169905671711864,-0.057295676718977076,2011
29,441,19348,13.979008,2011-10-11,0.018741294185768836,0,0.06388724211564362,,2011
30,446,19348,14.570953,2011-10-19,0.01892798409474369,0,0.030137082595155164,,2011
31,451,19348,14.998975,2011-10-26,0.0,0,0.041530627280571004,,2011
