Date,return
2013-10-29,-0.014682997790899145
2013-10-30,-0.022436817202299626
2013-10-31,0.03555687183222632
2013-11-01,0.03685170177817398
2013-11-04,0.05284982313163068
2013-11-05,0.02448331072697899
2013-11-06,-0.029261077924398495
2013-11-07,0.02926107792439843
2013-11-08,0.0018588014002492782
2013-11-11,-0.00046445958419138376
2013-11-12,-0.0037225295236527974
2013-11-13,0.00928073406689789
2013-11-14,0.015582401379192794
2013-11-18,-0.0068446144616867415
2013-11-19,-0.004129422161839032
2013-11-21,-0.034139461048067435
2013-11-22,-0.019212869697776008
2013-11-25,0.003872287303840649
2013-11-26,0.044409711680804424
2013-11-27,-0.0018501375743289715
2013-11-28,-0.0023175291796477732
2013-11-29,0.0
2013-12-02,-0.0055840020461984385
2013-12-03,-0.020745724914507217
2013-12-04,-0.011499877302525299
2013-12-05,-0.002412440663596828
2013-12-06,-0.004842758663823369
2013-12-09,-0.01467017743290093
2013-12-10,-0.010398733984217031
2013-12-11,0.0009950952776794602
2013-12-12,-0.0029880473710969697
2013-12-13,0.024631835101659384
2013-12-16,0.01112993106616441
2013-12-17,0.010531579637267991
2013-12-18,0.018401101421510704
2013-12-19,0.023563123805584542
2013-12-20,-0.010096582274373074
2013-12-23,0.010096582274372972
2013-12-26,-0.018433816530794983
2013-12-27,-0.014051741215643287
2013-12-30,0.0
2014-01-02,-0.021454950447792904
2014-01-03,-0.002412440663596828
2014-01-06,-0.009708874469027027
2014-01-07,-0.017220617491223607
2014-01-08,0.005937666817654928
2014-01-09,-0.023459965699215945
2014-01-10,-0.012706749016488529
2014-01-13,-0.007702176986967891
2014-01-14,0.005141468322278852
2014-01-15,0.017789416648970432
2014-01-16,0.014503974766304108
2014-01-17,0.017229094095415894
2014-01-20,-0.02670779340355222
2014-01-21,-0.02281469210713835
2014-01-22,-0.018111769863136472
2014-01-23,-0.023779207545062964
2014-01-24,0.02586572544704566
2014-01-27,-0.015227261267576094
2014-01-28,-0.0026491193954379703
2014-01-29,-0.018742203961185717
2014-01-30,-0.01032332550791212
2014-01-31,0.004359753808785533
2014-02-03,-0.027006419027567206
2014-02-04,-0.0005587748539390632
2014-02-05,0.017179641599561656
2014-02-06,0.03190323026038882
2014-02-07,0.02418622638707716
2014-02-10,-0.0026006677158455136
2014-02-11,-0.002607598228332308
2014-02-12,-0.007863766733510337
2014-02-13,0.0
2014-02-14,-0.019129152459792204
2014-02-17,0.01385217582770926
2014-02-18,-0.003179649783782088
2014-02-19,-0.031817274784816954
2014-02-20,-0.00825317380329787
2014-02-21,0.008253173803297766
2014-02-24,0.006009338720475459
2014-02-25,0.0368927200613688
2014-02-26,0.007843207380680344
2014-02-27,0.0
2014-02-28,0.04082188425165785
2014-03-05,-0.022757003952164703
2014-03-06,-0.012870142560682354
2014-03-07,-0.005194737738810695
2014-03-10,-0.032286637894672635
2014-03-11,0.011233097122750708
2014-03-12,0.0031864047066248245
2014-03-13,0.0
2014-03-14,-0.007450723499935879
2014-03-17,0.022710261336900697
2014-03-18,0.0
2014-03-19,0.0005219444366796556
2014-03-20,0.019638931309749346
2014-03-21,-0.008738198411459208
2014-03-24,0.0010320647353789878
2014-03-25,0.0056570277927875945
2014-03-26,0.03774032798284711
2014-03-27,0.02004454735221466
2014-03-28,0.032383889774408224
2014-03-31,0.007004424947040336
2014-04-01,-0.008411256953264074
2014-04-02,0.008876447746776062
2014-04-03,-0.014051741215643287
2014-04-04,-0.0028341987461859815
2014-04-07,0.0
2014-04-08,-0.008551113434658844
2014-04-09,-0.007662865920609403
2014-04-10,-0.009176548858324921
2014-04-11,0.10317463058154266
2014-04-14,0.030599307050292873
2014-04-15,0.005924744336775745
2014-04-16,0.0311551089018663
2014-04-17,0.02224561760644894
2014-04-22,-0.004007960270461723
2014-04-23,0.00799992089998664
2014-04-24,-0.03239134990922269
2014-04-25,-0.004123890384591658
2014-04-28,0.0033004481364677
2014-04-29,0.02922283152782144
2014-04-30,0.005982094656738319
2014-05-02,0.040901449309559586
2014-05-05,0.015151791883837322
2014-05-06,0.008609467932415217
2014-05-07,0.024665344810613405
2014-05-08,-0.03968615906860291
2014-05-09,0.012034625793472375
2014-05-12,0.02291308198829066
2014-05-13,0.02275699208785545
2014-05-14,0.005342864918970327
2014-05-15,-0.005700045684286297
2014-05-16,0.005700045684286395
2014-05-19,0.001774596327804169
2014-05-20,0.007067160792864029
2014-05-21,-0.007421909405038251
2014-05-22,0.009883688421726614
2014-05-23,0.001053210102871325
2014-05-26,0.019114402589059134
2014-05-27,-0.031115997858702674
2014-05-28,0.019342970239214566
2014-05-29,-0.008745968769964902
2014-05-30,0.03555172159163686
2014-06-02,-0.001017835108327347
2014-06-03,0.00945952131133528
2014-06-04,-0.005394478805954651
2014-06-05,0.0006758550984200568
2014-06-06,-0.009845475984511826
2014-06-09,0.004085803442954401
2014-06-10,0.034727902845124926
2014-06-11,0.01595351128534083
2014-06-13,-0.009085063788675372
2014-06-16,0.0006516308901130105
2014-06-17,-0.011466150444786735
2014-06-18,-0.02502215824555928
2014-06-20,-0.0016904949813235232
2014-06-23,-0.013628915586037333
2014-06-24,0.018692140282397213
2014-06-25,0.0026899789888018347
2014-06-26,-0.0026899789888018616
2014-06-27,0.0036967865229563628
2014-06-30,-0.0010068075341546276
2014-07-01,-0.014885240853883125
2014-07-02,-0.003072171733410631
2014-07-03,-0.028786448324394868
2014-07-04,0.0028109619211343544
2014-07-07,0.0052493758583805105
2014-07-08,0.012142301082843802
2014-07-10,-0.00935397354667774
2014-07-11,0.011076699194512665
