,Returns,nxt_return,remaining_return_week,first_return_week,remaining_return_month,first_return_month
count,1545.0,41.0,434.0,41.0,52.0,41.0
mean,-0.0003796381226189796,-0.024643526687834996,0.0031658544650825598,-0.031101955132298575,-0.008697135191243651,0.0029509713883063425
std,0.04392408684133065,0.06974097441020209,0.07753509672471047,0.1402106778935199,0.12316382084071285,0.20039648923367992
min,-0.45993704424095516,-0.32850395267398735,-0.36133158088535944,-0.603263482541162,-0.3258776632516488,-0.40449491438271523
25%,-0.019761921433753337,-0.049950940389535035,-0.0342200210161772,-0.06045408006552863,-0.07316681260725491,-0.12055479857323907
50%,0.0,-0.0068446144616867415,0.0001736783522233854,0.0,-0.01620388897181525,0.044212165521227635
75%,0.018845256086910806,0.012034625793472375,0.043227366387338255,0.05360946560384186,0.0894221232309826,0.13109390267507315
max,0.3219633949652559,0.07929714026148621,0.28389537171986406,0.15989454281066998,0.2724095499346298,0.4134972721145067
