Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2015-10-07,0,0.2899999916553497,0.5799999833106995,0.2899999916553497,0.5799999833106995,0.5764291286468506,200,,,,,,,,0,0,0
2015-10-08,0,0.9200000166893004,1.149999976158142,0.9200000166893004,1.059999942779541,1.053473949432373,40000,,0.6029961069777039,,,,,,0,0,0
2015-10-09,0,1.2599999904632568,1.5399999618530271,1.25,1.5,1.49076509475708,21900,,0.3471962482650492,,,0.1808778147222789,,,1,0,0
2015-10-13,0,2.0,2.0,1.7999999523162842,1.809999942779541,1.7988563776016235,4500,,0.1878616426251062,,,0.2094268797477091,,,1,0,0
2015-10-14,0,1.3700000047683716,1.5,1.3700000047683716,1.3700000047683716,1.3615654706954956,100600,,-0.2785159980521143,,,0.3707251023325989,,,-1,0,0
2015-10-15,0,1.2699999809265137,1.3700000047683716,1.2699999809265137,1.3700000047683716,1.3615654706954956,1600,,0.0,,,0.3351311620675218,,,0,0,0
2015-10-16,0,1.149999976158142,1.2300000190734863,1.0700000524520874,1.2000000476837158,1.1926120519638062,7700,,-0.1324892158784952,0.7270487839372498,,0.3244891680987272,,,-1,0,0
2015-10-19,0,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1230429410934448,700,,-0.0601039904124967,0.0639486865470491,,0.3040376974107142,0.468882575470071,,-1,1,0
2015-10-20,0,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1230429410934448,0,,0.0,-0.2832475617180001,,0.2834926706199808,0.5133136922669821,,0,-1,0
2015-10-21,0,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1230429410934448,0,0.8437573268227189,0.0,-0.4711092043431062,,0.2666352028391638,0.527423548035339,,0,-1,0
2015-10-22,0,1.100000023841858,1.3799999952316284,1.100000023841858,1.3700000047683716,1.3615654706954956,3100,0.8586812062745333,0.1925932062909919,0.0,,0.2541631509187846,0.4567805611361947,,1,0,0
2015-10-23,0,1.409999966621399,1.409999966621399,1.409999966621399,1.409999966621399,1.4013192653656006,1400,0.7126360091346133,0.0287790061532926,0.0287790061532926,,0.2417357947637083,0.4086507980688563,,1,0,0
2015-10-26,0,1.409999966621399,1.409999966621399,1.409999966621399,1.409999966621399,1.4013192653656006,0,0.5939602810946658,0.0,0.1612682220317879,,0.2316619851136494,0.3773497588835866,,0,1,0
2015-10-27,0,1.2200000286102295,1.2200000286102295,1.2200000286102295,1.2200000286102295,1.2124890089035034,1500,0.5711463657366238,-0.1447388463422013,0.0766333661020833,,0.2299487019270184,0.3497081026723568,,-1,1,0
2015-10-28,0,1.2200000286102295,1.2200000286102295,1.2200000286102295,1.2200000286102295,1.2124890089035034,0,0.0732429745660706,0.0,0.0766333661020833,,0.2214558168979985,0.3273764714049348,,0,1,0
2015-10-29,0,1.3700000047683716,1.3700000047683716,1.3700000047683716,1.3700000047683716,1.3615654706954956,300,0.0668088353163518,0.1159598401889085,0.1925932062909919,,0.2140162322572984,0.3122951746955982,,1,1,0
2015-10-30,0,1.1399999856948853,1.1799999475479126,1.0700000524520874,1.0700000524520874,1.0634124279022217,52600,0.2367553674455248,-0.247152110186046,-0.247152110186046,,0.2203240958157636,0.3101602947581872,,-1,-1,0
2015-11-03,0,1.190000057220459,1.190000057220459,1.100000023841858,1.190000057220459,1.1826735734939575,23200,0.3336359402798834,0.1062946068383686,-0.1696365095009699,,0.2139648380734664,0.3012662002090157,,1,-1,0
2015-11-04,0,1.190000057220459,1.600000023841858,1.190000057220459,1.600000023841858,1.5901494026184082,79500,0.7931656908096156,0.296050359920963,0.1264138504199931,,0.2160227553431972,0.2901511130983049,,1,1,0
