Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2011-05-02,0,4.705844879150391,4.851988792419434,4.705844879150391,4.808145999908447,4.428368091583252,29936513,,,,,,,,0,0,0
2011-05-03,0,4.822760105133057,4.878294944763184,4.735074043273926,4.764303207397461,4.387988090515137,3599867,,-0.0091603112658385,,,,,,0,0,0
2011-05-04,0,4.770149230957031,4.816915035247803,4.770149230957031,4.816915035247803,4.436444282531738,4191406,,0.0109823900289406,,,0.0142430406769534,,,1,0,0
2011-05-05,1,4.796453952789307,4.796453952789307,4.770149230957031,4.787685871124268,4.409524440765381,3752456,,-0.0060863712521997,,,0.0108514218295016,,,-1,0,0
2011-05-06,0,4.778916835784912,4.787685871124268,4.676616191864014,4.75261116027832,4.377220153808594,4134612,,-0.0073529922617535,,,0.0093433448188224,,,-1,0,0
2011-05-09,0,4.737997055053711,4.749688148498535,4.688307762145996,4.705844879150391,4.334148406982422,71384,,-0.0098887097960786,,,0.0086735175188095,,,-1,0,0
2011-05-10,0,4.705844879150391,4.705844879150391,4.705844879150391,4.705844879150391,4.334148406982422,0,,0.0,-0.0215059945469301,,0.0079540750727092,,,0,0,0
2011-05-11,0,4.749688148498535,4.822760105133057,4.749688148498535,4.793531894683838,4.414909362792969,667148,,0.0184621594414725,0.0061164761603809,,0.0110525182228127,0.0195320363502664,,1,1,0
2011-05-12,0,4.740920066833496,4.799376964569092,4.735074043273926,4.799376964569092,4.420291900634766,786893,,0.0012184303101219,-0.0036474835584375,,0.0102493245471976,0.0140075111523132,,1,-1,0
2011-05-13,0,4.793531894683838,4.793531894683838,4.74676513671875,4.778916835784912,4.401447772979736,753365,3.609239335365646,-0.00427220866037,-0.0018333209666077,,0.0096816685377812,0.0116574967229992,,-1,-1,0
2011-05-16,1,4.778916835784912,4.778916835784912,4.778916835784912,4.778916835784912,4.401447772979736,0,1.3485920757292915,0.0,0.0055196712951458,,0.0091304786682486,0.0111794739852252,,0,1,0
2011-05-17,0,4.705844879150391,4.720458984375,4.682462215423584,4.705844879150391,4.334148406982422,591538,1.1229473501278395,-0.0154083810912245,0.0,,0.0097436179085163,0.0100774729422969,,-1,0,0
2011-05-18,0,4.691230773925781,4.714613914489746,4.609389781951904,4.618157863616943,4.253386497497559,2380182,0.978493888833348,-0.0188096564429353,-0.0188096564429353,,0.0104871534508274,0.0110615733071998,,-1,-1,0
2011-05-19,0,4.618157863616943,4.670770168304443,4.606466770172119,4.626926898956299,4.26146125793457,1514257,0.806372865236591,0.001896631176385,-0.0353751847080229,,0.0101459653936094,0.0148701994879618,,1,-1,0
2011-05-20,0,4.6210808753967285,4.6736931800842285,4.533394813537598,4.659079074859619,4.291076183319092,1124573,0.5800440189464984,0.0069254403042575,-0.0296681747138872,,0.0100992880984155,0.01556828997237,,1,-1,0
2011-05-23,0,4.606466770172119,4.641541957855225,4.545085906982422,4.641541957855225,4.274923324584961,935719,0.6429803046548358,-0.0037713936044355,-0.0291673596579528,,0.0097398470694486,0.0157595872879365,,-1,-1,0
2011-05-24,0,4.662002086639404,4.676616191864014,4.533394813537598,4.580161094665527,4.218389987945557,3585840,0.9009243533427258,-0.0133126306515957,-0.0424799903095486,,0.0098005178173752,0.0174186687747242,,-1,-1,0
2011-05-25,0,4.574315071105957,4.574315071105957,4.43986177444458,4.442784786224365,4.091865539550781,1985366,0.9892298823562832,-0.0304525476044967,-0.0575241568228207,,0.011587165424632,0.020561445003968,,-1,-1,0
2011-05-26,0,4.4369401931762695,4.603544235229492,4.4369401931762695,4.597698211669922,4.234542846679688,1263135,1.0211266133557324,0.0342743876005043,-0.004440112779381,,0.0145097287539776,0.0200977359458813,,1,-1,0
2011-05-27,0,4.5567779541015625,4.647387027740479,4.536317825317383,4.618157863616943,4.253386497497559,1778037,1.0935448309529785,0.0044401127793811,-0.0018966311763849,,0.0141901761635563,0.0197778157034885,,1,0,0
2011-05-30,0,4.559700965881348,4.670770168304443,4.559700965881348,4.662002086639404,4.293767929077148,498480,1.130043260942305,0.0094491640197791,0.0006270925391362,,0.0140519605652511,0.0195802918304682,,1,0,0
2011-05-31,0,4.676616191864014,4.676616191864014,4.574315071105957,4.676616191864014,4.307226657867432,3846883,1.368873374507506,0.0031295775480576,0.0075280636916296,,0.0137340644400215,0.0197807153191189,,1,1,0
2011-06-01,0,4.63861894607544,4.7555341720581055,4.6123127937316895,4.735074043273926,4.361068248748779,1503309,1.308033476166345,0.0124228083816124,0.033263502724838,-0.0153141010404162,0.0137196273491326,0.0223408644297564,,1,1,0
