,CD_CVM,Date,Return,week_return,month_return,event,Year
0,19348,2010-01-04,,,,0,2010
1,19348,2010-01-05,0.006459704313589818,,,0,2010
2,19348,2010-01-06,-0.008705505000678135,,,0,2010
3,19348,2010-01-07,-0.010295057443854859,,,0,2010
4,19348,2010-01-08,-0.015259796337963335,,,0,2010
5,19348,2010-01-11,-0.008751643191024424,-0.03655229765993116,,0,2010
6,19348,2010-01-12,-0.009350704503047664,-0.052362706476568585,,0,2010
7,19348,2010-01-13,0.0031266837778504007,-0.040530517698040086,,0,2010
8,19348,2010-01-14,-0.01388374537301968,-0.04411920562720494,,0,2010
9,19348,2010-01-15,-0.017026153458944246,-0.04588556274818572,,0,2010
10,19348,2010-01-18,0.008815339051697842,-0.028318580505463417,,0,2010
11,19348,2010-01-19,-0.002663162432770834,-0.021631038435186475,,0,2010
12,19348,2010-01-20,-0.026754805256537645,-0.051512527469574354,,0,2010
13,19348,2010-01-21,-0.01852152693294578,-0.05615030902950051,,0,2010
14,19348,2010-01-22,0.011374833019457138,-0.0277493225510992,,0,2010
15,19348,2010-01-26,0.0024795723703966697,-0.03408508923240037,,0,2010
16,19348,2010-01-27,-0.014412544996244243,-0.0458344717958739,,0,2010
17,19348,2010-01-28,0.02943403845811266,0.010354371918776546,,0,2010
18,19348,2010-01-29,-0.0208169580126703,0.008058940839051985,,0,2010
19,19348,2010-02-01,0.018646016647304482,0.015330124466899308,,0,2010
20,19348,2010-02-02,0.01322367762587687,0.026074229722379508,,0,2010
21,19348,2010-02-03,-0.0042986666344517,0.0361881080841721,,0,2010
22,19348,2010-02-04,-0.03926382579658279,-0.03250975617052347,-0.11644423010644997,0,2010
23,19348,2010-02-05,-0.025813344570962002,-0.03750614272881513,-0.14871727899100165,0,2010
24,19348,2010-02-08,-0.0028777485679030495,-0.05902990794402259,-0.14288952255822665,0,2010
25,19348,2010-02-09,0.04369978347712332,-0.02855380209277623,-0.08889468163724831,0,2010
26,19348,2010-02-10,0.005501928728683902,-0.018753206729640676,-0.06813295657060114,0,2010
27,19348,2010-02-11,0.017405989902755572,0.03791660896969766,-0.041975323476821154,0,2010
28,19348,2010-02-12,-0.00026962576515965727,0.06346032777549998,-0.0328942447389331,0,2010
29,19348,2010-02-17,0.021345479525363406,0.08768355586876642,-0.014675448991420075,0,2010
30,19348,2010-02-18,0.0031629450520354228,0.047146717443678494,0.002371241433634962,0,2010
31,19348,2010-02-19,-0.015915433362942467,0.025729355352052004,0.003481961529636636,0,2010
32,19348,2010-02-22,-0.02107616555896421,-0.012752800109667693,-0.026409543081025465,0,2010
33,19348,2010-02-23,-0.016797934613706787,-0.029281108958214803,-0.0405443152619615,0,2010
34,19348,2010-02-24,-0.011170124470419136,-0.061796712953997315,-0.024959634475842925,0,2010
35,19348,2010-02-25,-0.00028083334224677104,-0.06524049134827932,-0.006718940885143842,0,2010
36,19348,2010-02-26,0.024966558167637775,-0.024358499817699216,0.0068727842630367875,0,2010
37,19348,2010-03-01,0.001642513843536252,-0.0016398204151987588,0.0060357257361762775,0,2010
38,19348,2010-03-02,0.01600902758534887,0.03116714178385684,0.036457298317769254,0,2010
39,19348,2010-03-03,0.0,0.04233726625427582,0.00702325985965656,0,2010
40,19348,2010-03-04,-0.0013467355829413568,0.04127136401358135,0.02649348228938544,0,2010
41,19348,2010-03-05,0.005376211983795878,0.02168101782973938,0.01322367762587687,0,2010
42,19348,2010-03-08,-0.0005362281417865817,0.019502275844416675,-0.0005362281417865817,0,2010
43,19348,2010-03-09,0.012263523431062861,0.015756771690130747,0.01602596192372783,0,2010
44,19348,2010-03-10,0.00423058569018476,0.01998735738031557,0.05952037341049553,0,2010
45,19348,2010-03-11,0.0026350343714410013,0.02396912733469794,0.0879687523528986,0,2010
46,19348,2010-03-12,-0.016182882685562443,0.0024100326653396886,0.07466361823523925,0,2010
47,19348,2010-03-15,0.00586666583016745,0.008812926637293616,0.0368305005882834,0,2010
48,19348,2010-03-16,0.006361114961056756,0.0029105181672876533,0.03768968682065629,0,2010
49,19348,2010-03-17,-0.009290116379313776,-0.010610183902210971,0.010993580538587011,0,2010
50,19348,2010-03-18,-0.008032249152881768,-0.021277467426533844,0.0032309571508646797,0,2010
51,19348,2010-03-19,-0.004040330184577625,-0.009134914925549001,-0.0221548525590762,0,2010
52,19348,2010-03-22,0.014735741770230305,-0.00026583898548624736,-0.010582055840881283,0,2010
53,19348,2010-03-23,-0.008278967085242015,-0.014905921031784985,-0.0029455895631807986,0,2010
54,19348,2010-03-24,-0.021412910254518427,-0.027028714906989593,-0.003282334258734941,0,2010
55,19348,2010-03-25,0.011982797382612816,-0.007013668371494968,0.025498397737584607,0,2010
56,19348,2010-03-26,0.017709079957147482,0.014735741770230305,0.05437760216515143,0,2010
57,19348,2010-03-29,0.014783756143365035,0.014783756143365035,0.0694421916507629,0,2010
58,19348,2010-03-30,0.010168282182409626,0.03323100541101651,0.05464391566553504,0,2010
59,19348,2010-03-31,0.011605431306115526,0.06624934697165061,0.06460683312811429,0,2010
60,19348,2010-04-01,0.005115243456747514,0.059381793045785176,0.053713048999513,0,2010
61,19348,2010-04-05,0.006357212518245568,0.04802992560688327,0.06007026151775869,0,2010
62,19348,2010-04-06,-0.012755267042800267,0.020490902420718098,0.04866173005789981,0,2010
63,19348,2010-04-07,-0.009026507239595475,0.0012961129987127803,0.03425901083450837,0,2010
64,19348,2010-04-08,0.0351270335890056,0.02481771528160292,0.06992227256530045,0,2010
65,19348,2010-04-09,0.0029970560345231804,0.022699527859378555,0.0606558051687608,0,2010
